2018-05-12 23:53:47,164 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-12 23:53:47,164 [Worker-3] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of in28Minutes-first-webapp
2018-05-12 23:53:47,167 [Worker-3] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for in28Minutes-first-webapp
2018-05-12 23:53:47,176 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:53:58,667 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-05-12 23:54:04,148 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\kumark\Desktop\Spring_MVC\Step07
2018-05-12 23:54:04,148 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2018-05-12 23:55:13,855 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-12 23:55:14,276 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.in28minutes:in28Minutes-first-webapp:0.0.1-SNAPSHOT @ C:\Users\kumark\Desktop\Spring_MVC\Step07\pom.xml.
2018-05-12 23:55:14,840 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /in28Minutes-first-webapp/src/main/java
2018-05-12 23:55:14,840 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /in28Minutes-first-webapp/src/main/resources
2018-05-12 23:55:14,841 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /in28Minutes-first-webapp/src/test/java
2018-05-12 23:55:14,842 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /in28Minutes-first-webapp/src/test/resources
2018-05-12 23:55:14,966 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for in28Minutes-first-webapp
2018-05-12 23:55:14,973 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-05-12 23:55:15,262 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:55:15,264 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-12 23:55:15,271 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:55:15,273 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-12 23:55:15,273 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of in28Minutes-first-webapp
2018-05-12 23:55:15,273 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for in28Minutes-first-webapp
2018-05-12 23:55:15,280 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:55:42,481 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\kumark\Desktop\Spring_MVC\Step07
2018-05-12 23:55:42,481 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-05-12 23:55:45,867 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:55:45,870 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-12 23:55:45,871 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:55:45,872 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-12 23:57:40,630 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.in28minutes:in28Minutes-first-webapp:0.0.1-SNAPSHOT @ C:\Users\kumark\Desktop\Spring_MVC\Step07\pom.xml.
2018-05-12 23:57:41,132 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:57:41,136 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-12 23:57:41,139 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:57:41,140 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-12 23:57:41,141 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of in28Minutes-first-webapp
2018-05-12 23:57:41,141 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for in28Minutes-first-webapp
2018-05-12 23:57:41,146 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-12 23:57:42,367 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
